icrogidA	icrogidB	w
1611110	763487	0.431
163867	4370876	0.89
3901963	3908752	0.928
2035801	4830777	0.431
114725	1885413	0.55
2973208	5255272	0.28
3751636	799425	0.431
14007162	2791218	0.778
1325425	3754565	0.55
2191992	9213367	0.28
16819156	3805630	0.28
5267677	749723	1
1373290	508037	0.931
1223735	5400871	1
3369267	3613055	1
3766206	776494	0.994
2166278	3348102	0.971
2733	723975	0.986
1914009	402740	0.431
4600608	57432	0.28
1960370	4929572	0.28
4835623	721123	0.28
1034179	2639679	0.778
2271964	2613246	1
4484668	4772972	0.591
2482188	4360035	0.636
495484	799425	0.431
2296393	3030371	0.28
882993	886779	0.676
1688346	232848	0.895
3062679	411244	0.28
3536546	4791881	0.798
1738752	4761161	0.191
400924	4219691	0.591
1031778	9644677	0.55
3660000	5119748	0.431
1382021	2348958	0.6
3754565	5094002	0.482
4222606	485355	0.431
2154661	2812442	0.923
4725445	4774660	0.719
10013349	1386965	0.55
1218043	463371	0.431
16583720	2451498	0.28
1780397	329232	0.55
2154661	4943184	0.6
3236710	4790412	0.36
2653705	4027872	0.191
3854928	9644680	0.431
3976855	5369859	0.431
4374234	4874921	0.431
10724593	201818	0.55
4570210	667443	0.778
2054115	3513543	0.36
3030371	3303645	0.55
2662282	3615270	0.998
2704937	2866020	0.36
1610215	2972109	0.431
1201603	1437454	0.431
3062679	5271742	0.28
2309550	3313461	0.705
1386965	5154276	0.28
3051068	3908522	0.431
2132292	2878965	0.431
2068280	3574528	0.345
1703459	1943966	0.55
1500446	5220445	0.191
2709649	3414094	0.28
2527179	4183234	0.28
1378693	4222606	0.431
1886948	5118809	1
4754488	9441999	0.36
16820638	4453536	0.28
2178303	498439	0.431
2373565	3908752	0.55
2449309	4863907	0.719
2138435	4177373	1
1736180	2082462	0.591
2334209	930558	0.885
2909998	5280551	0.55
1070407	3264759	0.824
4512926	725786	0.431
3594045	5317296	0.798
2659709	2831214	1
2976835	961525	0.943
4049758	4865099	0.431
396939	5347590	0.676
373133	5334182	0.644
3966078	4180137	0.36
187822	2269188	0.191
4264259	476970	0.28
1612585	3595761	0.998
4176171	457052	0.36
2623348	5316097	0.431
1160340	1706607	0.494
1388712	3767375	0.824
4304881	4662323	0.89
2572200	3908752	0.993
3006542	4831700	0.431
3503650	4863907	0.719
1507630	3410334	0.644
3027803	4629164	0.955
2217113	3329468	0.36
1627438	9650725	0.431
1873263	2304613	0.644
2277126	3589204	0.36
4915790	5280551	0.778
2080390	3087482	0.955
3758918	4460223	0.28
200373	4654472	0.36
1368998	1719520	0.28
2899331	340330	0.93
2821449	5309392	0.944
150325	5373432	0.744
1128724	506434	0.928
1034179	5146399	0.28
5347546	73857	0.494
1185405	547668	0.705
1338392	299897	0.89
3211116	691693	0.591
1668047	4595183	1
2654427	4935615	1
2231624	2956356	0.885
4442839	606323	0.28
3013056	3051557	0.824
2963834	4601808	0.431
2024366	4920113	0.28
1636265	781714	0.998
1458824	1886948	1
381053	5207620	0.885
5207620	560615	0.431
4616280	879772	0.431
2142605	3712222	0.494
2704937	4465320	0.995
1824776	3842540	0.431
3594045	4492196	0.999
2278161	480656	0.191
1065781	280867	0.951
1405313	528205	0.28
3184048	456622	0.431
4181226	808478	0.591
3805630	9148667	0.28
2667611	4523522	0.28
1350553	5309392	0.36
1189213	5028244	0.705
14005899	836890	0.482
1092973	4038294	0.28
3572785	850903	0.997
1654698	2172865	0.28
3897808	5124507	0.431
1368998	4717503	0.807
1850984	3335469	0.921
357635	5185472	0.824
230743	3062679	0.644
2068280	2296393	0.913
3534919	4816989	0.778
18532	3924216	1
2570094	4787142	0.719
3348889	4821148	0.811
3410334	3559733	0.431
2170344	5081339	0.36
1542682	4698162	0.431
3072139	4557976	0.28
265632	4331029	0.861
2260078	4413692	0.644
3875217	5070500	0.719
1314172	5156786	0.84
2089354	3424036	0.999
3756319	4580935	0.431
2688280	554160	0.36
2289770	2508904	0.28
1109800	1366033	0.935
2973208	4004555	0.778
1944031	1948132	0.28
1522904	3470416	0.55
2791829	4157895	0.921
292123	788005	0.985
2194565	4815127	0.824
2068280	4456934	0.653
1594998	851117	0.431
2201336	3885227	0.644
1667028	5299055	0.28
562215	782598	0.431
2930252	448835	0.957
3875295	3976855	0.431
4813983	70418	0.28
216050	249772	0.28
1267099	1796111	0.798
4053865	4941268	0.28
505462	5255272	0.93
186242	5250584	0.431
1529536	2901884	0.55
2229096	3503650	0.28
232605	5207613	0.28
4867422	5278141	0.977
1314473	5155720	0.28
342056	5151310	0.482
4465042	5051553	0.494
24456	4303212	0.494
1180512	5175611	0.744
1706107	2961203	0.824
2857551	4638894	0.712
1313757	1692316	0.644
1749413	4185713	0.877
4602540	961525	0.55
1093545	3392448	0.431
1994833	222539	0.28
16368464	4862491	0.798
1088873	3503650	0.28
3378486	506520	0.84
4706299	752621	0.431
2494598	2613246	0.55
746078	98437	0.36
2616885	3713468	0.28
4200947	499009	0.966
1026809	1562406	1
1368998	3553333	0.28
1828022	1885413	0.84
4811603	883318	0.191
5051455	948625	0.913
4182659	5123396	0.55
4320654	4810370	0.712
2821449	3993169	0.28
1447330	864205	0.494
2304874	2499322	0.644
2874872	639797	0.28
1829384	5175751	0.719
4563998	950019	0.36
1449530	5356742	0.55
3478242	4512349	0.28
1340317	506434	0.28
1925521	2988715	0.36
1941659	3737772	0.36
2677625	2864804	0.793
4865286	509096	0.719
1109800	2166278	0.28
5081339	618017	0.985
1144918	912741	0.36
3614980	5231284	0.885
2047592	4601076	0.998
1146862	512356	1
1196452	2266822	0.494
1916894	3692692	0.28
4560000	5343346	0.591
2154661	766918	0.431
1917766	4880200	0.431
4398609	5013173	0.54
3503650	5204855	0.28
1874372	467320	0.921
5223294	765978	0.191
1193438	4468411	0.998
2053332	2803395	0.644
1735580	4427136	0.36
1097696	1849460	0.431
1316445	4456845	0.28
10724543	513299	0.925
2722733	3152384	0.431
2011039	2532786	0.885
4561216	4832145	0.824
1522844	5124507	0.431
2265349	4704365	0.973
14007162	9650703	0.28
1038283	3051511	0.431
2235823	504941	0.55
2213107	3983214	0.36
1907974	4416613	0.191
1518050	285310	0.55
3280269	4154210	0.719
4434473	4683502	1
2751205	3412608	0.998
2985508	5363969	0.36
4232068	9148596	0.28
202100	2180245	0.55
145803	4106115	0.964
4197396	799419	1
1274382	2246861	0.28
2266720	3983756	0.28
1627438	514621	0.431
38167	4452356	0.917
2523926	783937	0.89
4092924	746078	0.955
2015731	4456626	0.28
233647	5162718	0.28
1004542	3740662	0.824
475613	4813983	0.191
3907496	4926164	0.431
1236268	9644680	0.431
1100879	4608361	0.28
1349134	262668	0.874
3389965	9148484	0.778
710692	9644674	0.767
1775657	401222	1
2243284	3816848	0.28
4425296	541754	0.28
1655367	913032	1
4577585	5279588	1
4081596	4428933	0.36
2135848	3027803	0.999
3811847	4739027	0.974
3408968	4732923	0.28
2679977	9148596	0.591
775223	9148596	0.28
1180258	4154210	0.431
2779711	734981	0.824
1160340	4772364	0.36
4497883	4582088	0.431
899063	906603	0.28
1755191	3107498	0.431
2068280	4038294	0.47
2521136	4720276	0.431
2085035	4303895	0.851
3047661	840449	0.482
1426594	4270364	0.951
105791	5157965	0.55
3501488	839668	0.431
1274382	2886402	0.55
16817590	2824835	0.28
1892793	936469	0.644
5277127	5278338	0.431
3359515	883318	0.494
1023703	4446425	0.55
4154210	4638894	0.824
4085808	910608	0.431
2141127	5309392	0.772
3426596	3924216	0.987
1925572	2157358	0.28
3529080	74878	0.431
1681079	2289770	0.28
3887183	5149198	0.55
3503650	414846	0.744
110906	3147827	0.917
1594998	2364838	0.36
1961922	58304	0.925
362123	4456845	0.28
232848	4854479	0.861
2038544	4249988	0.36
2886402	4293898	0.28
1714665	3001692	1
1706876	417215	0.36
3875375	4871405	0.494
2607334	3824186	0.676
2221221	69516	1
1454619	4154210	0.928
2215931	3739151	0.816
1150008	2853488	0.431
3887353	521511	0.431
1297684	1653461	0.431
3909139	863768	1
1348762	1945228	0.55
1377931	712420	0.644
1673203	5203612	0.28
1158706	3378486	1
1555530	4472923	0.644
3598392	4926164	0.431
2617841	4454860	0.431
1619578	2068280	0.191
1549507	2543349	0.36
2079075	2278838	0.55
2413104	3027079	0.28
1682385	1923050	0.431
2695738	3985867	0.36
3738609	4601808	0.28
3051068	4497883	0.431
1874037	4762975	0.928
1907974	1945941	0.997
863768	9769294	0.946
1740156	342056	0.28
1119923	2154661	0.431
2168149	876198	0.9
1529888	9443098	0.36
1631455	9443057	0.28
1180921	806284	0.55
1552002	4981197	0.999
3209326	4413015	1
1665105	247278	0.36
1465557	5020137	0.55
1386965	900017	0.719
2421122	4882386	0.987
541754	630730	0.591
1734411	4157895	0.84
2238434	2804475	1
16816000	4122724	0.36
4997501	70418	0.28
4831970	856204	0.28
1981907	3371516	0.431
2586207	4717061	0.431
2322306	3027079	0.851
3073417	9148596	0.28
1616115	964752	0.431
1637305	693836	0.36
532535	635742	0.767
2271250	4397910	0.767
1007298	4688857	1
4144664	4926532	0.644
4717503	9441631	0.644
2453542	2545061	0.28
1180601	4704365	0.55
2053332	2229312	0.55
5309392	9442999	0.28
2637595	4717503	0.591
1373290	4012386	0.684
4855052	74878	0.431
1143071	4751656	0.778
2237342	9378317	0.28
163867	2979306	1
886176	9441521	0.55
3371299	998479	0.28
1379409	613199	0.998
158012	492457	0.28
457052	5343346	0.98
261522	4307084	0.644
3062679	3691852	0.888
1719520	4529228	0.431
3501522	4918939	0.28
11791409	3970918	0.431
1062133	4560000	0.55
3884235	4066781	0.431
2235220	5232295	0.431
1038283	216050	0.28
1538112	1970718	0.676
16816000	4577390	0.976
4863907	5172578	0.55
3087482	3429965	0.36
326765	5317357	0.36
711574	9378103	0.431
1692316	2217113	0.431
1871880	2186087	0.986
3235241	4600608	0.644
1043210	3635482	0.431
1611110	3116361	0.909
2068280	5095867	0.807
2831214	843450	1
3092166	4056103	0.431
2623348	3429103	0.494
2266085	3234095	0.431
2690354	5006590	0.36
498439	711574	0.431
3503650	3522491	0.986
5409001	9148605	0.28
381053	821803	0.816
3908752	4684870	0.968
4424305	4918939	0.431
3536546	4536176	0.993
1997896	4004555	0.28
3678099	3835995	0.431
1612585	4386137	0.996
1123797	12534	0.636
2178303	3429103	0.36
2178303	218817	0.999
1890549	429029	0.992
3870887	74878	0.798
1594998	1692316	0.36
402740	5086617	0.28
186242	3077142	1
5075727	849235	1
2875903	457052	1
4035043	778099	0.431
3235867	4157895	0.744
11791409	1522904	0.431
3116361	4928325	0.431
1427764	2068280	0.28
1180573	3589204	0.431
3550890	4083603	0.998
1109800	1551221	0.28
129717	145803	0.28
4311946	9644779	0.36
3719914	4629164	0.719
3880882	487554	0.591
463371	5076086	0.494
2068280	813561	0.75
1762735	958432	0.36
3908752	3999360	0.55
1103259	3851242	0.36
4053865	930558	0.431
149354	5278338	0.982
1279185	5149198	0.676
2579206	793250	0.431
2354904	4843742	0.431
4487727	5091618	0.494
3087482	9147737	0.644
2271732	5056788	0.431
4941082	4948675	0.28
3213519	452957	0.36
3213415	652168	0.431
1085946	3130413	0.28
2542183	974905	0.28
2079075	3426592	0.999
2374240	5142570	0.824
3621324	4122724	0.684
749684	936905	1
1381180	5081339	0.36
4050778	4071989	0.431
4389437	5103577	0.55
5271742	746078	0.636
3737772	469853	0.949
2413104	709275	0.494
5124712	944534	0.913
1666833	4684870	0.55
4231106	4680436	0.997
321631	5117859	0.28
366827	4874921	0.28
2192728	4192052	0.431
1605620	492000	0.191
2556870	342056	0.28
3382318	5068886	0.36
3947627	4925944	0.431
1382021	3077030	0.494
3479715	9213961	0.54
1037566	1991355	0.28
1026809	3853314	0.921
1742788	3758028	0.28
1925572	4957523	0.6
1149900	2223151	0.36
382851	4859895	0.861
3231405	879772	0.431
3536546	889770	0.928
3767375	4067378	0.644
1528013	466894	0.431
1031192	4271947	0.431
463529	5343965	0.28
374649	5002301	0.36
4525397	4691983	0.705
1526458	3145762	0.28
1020765	4258047	0.191
2347958	821803	0.431
2532732	3504368	0.28
305965	3753680	0.874
1325425	3176507	0.744
1925908	3280269	0.431
2427295	2620388	0.28
2806644	3235867	0.28
38360	4394607	0.36
3357491	9769294	0.431
1970718	570073	0.28
1945941	5108955	0.861
2122265	465484	0.431
2068280	2202234	0.893
2164965	4126476	0.36
351104	5192379	0.84
2495347	2807626	0.36
1020765	3479525	1
321521	3577550	0.928
2662282	4005241	0.861
2668400	2857551	1
1316718	2930074	0.431
1298701	4524269	0.191
3522491	5369795	0.431
3501488	781714	0.644
1330230	4975704	0.431
1951806	3569389	0.28
4972844	8972652	0.431
1817858	3584968	0.431
2677230	3337017	0.418
1054200	5204392	0.28
247278	2981808	0.28
1505377	3651866	0.644
1706607	5343965	0.482
2174789	2478934	0.997
1160340	4995719	0.36
3302041	4242856	0.431
2659032	4083603	0.28
1994979	2551919	1
1885413	3016391	0.431
1180644	377079	0.28
1653461	3010888	0.644
3686954	710983	0.431
483984	5292097	0.55
292813	4072866	0.719
1925908	2922987	0.431
3358028	3572785	0.55
11790664	4293229	0.28
3281995	5162718	0.28
3384826	4372825	0.921
401222	4127742	0.9
1528451	2479812	0.992
5013173	506434	0.55
2174789	3116361	0.958
1338916	2831214	0.895
2861764	8972896	0.28
1773797	1801038	0.494
3333598	578543	0.861
3043915	3235241	0.719
2031279	3536546	0.946
1546973	554955	0.431
3503650	4154210	0.988
4017018	5124507	0.431
1296356	2272123	0.55
399028	4538526	0.431
2547906	3222726	0.482
2985508	4915790	0.767
3589204	5020137	0.431
3696628	4796501	0.431
3909139	5341877	0.28
2443157	5231284	0.793
2269842	3959476	0.798
1687077	3569998	0.55
4386137	4762389	1
5199293	941370	0.644
2156980	2638768	0.996
2435434	4732287	0.644
322700	4926237	0.644
1068068	3174903	0.28
1382021	3026796	0.28
2135848	4594083	0.431
4629164	548010	0.89
1105296	652879	0.867
2019521	4985773	0.431
3062679	3600472	0.28
2043092	2914501	0.431
4563875	746078	0.644
241463	2879199	0.36
2740417	9442996	0.28
4157895	487164	0.28
1149900	4687717	0.36
216050	4813983	0.28
1871880	4384063	0.719
3034498	3633225	0.55
2791218	4020300	0.191
4242856	5059508	0.28
3329408	710692	0.431
1885413	2920195	0.431
1881339	4204307	0.999
2229312	4882128	0.958
2269842	4157895	0.959
2913803	425556	0.999
2423255	936905	0.998
222284	2806644	0.591
1368998	4197396	0.744
2068280	2174789	0.874
5307304	564332	0.719
2255590	5309542	0.644
1431300	618017	0.431
3097665	4401438	0.431
3165919	492000	0.942
163267	2809941	0.676
3338825	3470416	0.55
2973208	845754	0.992
327364	334699	0.84
2664703	326265	0.798
3699097	3809612	0.581
631808	9644677	0.28
646633	751057	0.191
2972109	3600472	0.494
1554290	4762389	0.712
2821449	78395	0.55
1605335	3713468	0.28
2522401	2556870	0.431
2248140	2918866	0.28
1457200	5192379	0.431
1368998	14006330	0.705
1193438	1660206	0.999
2426465	3870230	0.676
1620368	3371516	0.55
2562491	2864804	0.793
3971681	5302676	0.431
2522401	4465042	0.719
3909139	5082833	0.712
2602138	3095898	0.591
1248292	670149	0.55
2286490	4761161	0.36
3915161	506434	0.431
1325797	3431532	0.191
473875	5232295	0.431
3019540	862206	0.55
1393325	4251325	0.36
1148987	2082182	0.28
201818	9214020	1
3972190	4448821	0.36
3090120	3805630	0.28
4886985	78872	0.431
127538	163273	0.482
4687717	4777149	0.94
4280011	5066750	0.999
158012	4040597	0.28
2768047	4009570	0.431
3667797	67092	0.36
1605335	4137928	0.431
2374256	2394559	0.191
14005421	4084302	0.36
4070902	4083247	0.9
2777809	3478171	0.36
3548072	4180137	0.191
4358568	4984842	0.996
29439	4442839	0.28
2032272	2547906	0.719
414846	4811603	0.644
2163839	3329408	0.482
4671530	921659	0.28
2017693	2135848	0.431
2223151	632859	0.54
3572785	4629164	0.89
5173878	9214251	1
1724797	5336562	0.55
1611110	5165533	1
3224941	506434	0.494
4739027	498439	0.431
3783569	9441877	0.951
4372825	982552	0.636
2886402	711574	0.431
160280	4374641	1
2068280	3838614	0.719
1512828	2810291	0.836
2243284	4056103	0.28
3481843	4741479	0.28
1127312	5065892	0.55
1453531	2068280	0.858
1065781	4919255	0.644
2903175	3663386	0.28
4990349	9148179	0.55
1979637	2903175	0.28
201818	2450911	0.954
3556167	3896458	0.55
1390823	5081339	0.982
2494710	5369859	0.943
1057873	1378681	0.431
1472423	5231284	0.482
2568393	3798071	0.431
1527003	899063	0.431
4723115	5369795	0.719
2269842	3498736	0.28
3357491	905458	0.55
1109800	3909139	0.644
1729100	2667611	0.28
146918	4692488	0.798
4473831	506434	0.996
138082	3303645	0.36
5091618	597019	0.431
2228623	3167932	1
2080390	2135039	0.36
3252138	808478	1
2447367	3482397	0.55
2272676	332520	0.55
2963834	3719914	0.28
1175704	5077084	0.431
1844666	986959	0.861
3694221	5123142	0.644
3884235	5247574	0.913
16817590	3118889	0.28
4362745	4957523	0.36
2970254	299897	0.921
2423457	910608	0.97
1931873	941878	0.644
3971681	4802061	0.627
4293121	799425	0.824
2836526	3150715	0.431
14006088	4299381	0.28
1508823	5406706	0.28
2494710	2953129	0.431
1065781	3691852	1
1737551	389033	0.644
2041098	4750096	0.55
1514270	2309550	0.847
4303804	4865286	0.431
1382021	29439	0.28
2858733	3034498	0.431
1885413	3962824	0.778
2806644	3777351	0.84
3107076	369533	0.494
1159046	4587507	0.28
3116361	4629164	0.874
2482188	385389	0.793
201818	3202784	0.898
4038294	632859	0.997
1235047	4306439	0.36
1734411	380461	0.431
4687717	5076086	0.482
2374240	3825435	0.28
2068280	907507	0.591
1401239	2164965	0.36
1199507	5337581	0.431
1620853	3694658	0.431
3834233	3907496	0.431
3812471	4176171	0.36
1255394	585351	0.431
3686111	4929572	0.28
2309550	4718423	0.431
4367092	4600608	0.28
1885413	3390631	0.719
1051362	2304613	0.28
1235005	4446425	1
1700717	4968159	0.949
2157358	4542983	0.28
1193583	4456964	1
2378913	3021894	0.28
18532	4749326	1
5071100	921855	0.28
1149084	4398244	0.28
314383	3762388	0.28
14007142	95450	0.431
232848	5317326	0.824
212951	4629164	0.951
1386965	4682253	0.28
233780	4795065	0.644
476970	4831700	0.431
2677230	3728072	0.28
1056530	5300018	0.36
2085035	548234	1
1225201	4542983	0.36
2183154	924395	0.591
322805	980096	0.28
4629164	86930	0.55
1815070	434488	0.909
3635743	4527687	0.28
418524	828994	0.28
299897	3938559	0.55
2874989	3079639	0.55
5409001	607323	0.36
3174903	5205790	0.882
2223151	9650703	0.36
1735580	628054	0.431
384850	385840	0.971
16822233	931032	0.644
2887311	5091618	0.82
1700717	4717503	0.676
1672467	232605	0.28
3157177	764067	0.28
1382021	2260576	0.977
2368170	4240036	0.482
2730306	9441770	0.28
4264365	642705	0.28
2079429	2633152	0.744
1613006	4557976	0.482
1211827	711574	0.431
3607869	5398227	1
468872	547668	0.885
3323303	4327650	0.431
1501724	4821148	0.191
2478987	4056103	0.28
1182145	3635743	0.861
1884736	2191274	0.995
11790664	2123327	0.494
2840716	5343965	0.836
4364879	760097	0.55
14006818	430034	0.431
3027079	3152384	0.591
1211827	4838688	0.431
3725670	5220445	0.36
3685893	482626	0.28
1219293	5006590	0.431
2620388	4152408	0.28
1001137	3909139	1
274142	3805630	0.28
1898596	3243741	0.676
2547485	3168228	0.55
3078390	4078346	0.946
4127107	4860048	0.482
3471870	4717503	0.946
1224042	5186717	1
2981808	5135474	0.28
2656048	482736	0.55
3486480	9213748	0.431
2795629	4851841	0.36
3429103	492000	0.191
4582088	5114696	0.28
1704717	3001692	0.482
3713468	82390	0.28
2238434	2963834	0.82
2677230	2777809	0.28
4181226	4376640	0.788
3537350	4264365	0.28
436382	599966	0.482
131074	4177872	0.772
2542840	2972049	0.482
232848	98437	0.591
3987117	4959794	0.431
2492809	4600608	0.89
1051362	4659919	0.36
1379671	5395245	0.55
3995515	4170192	0.28
2092370	4836805	0.36
2556870	4369338	1
1994022	4446425	0.719
161507	2878965	0.744
2178303	4327650	0.644
4644422	948625	0.431
4002594	5145879	0.431
1447330	845754	0.744
2080414	3341783	0.36
4692488	961525	0.28
1225374	3333598	0.28
1653461	1927006	0.431
232701	2429960	0.719
1468821	618825	0.55
2861341	5369795	0.28
5035883	961525	0.89
4396377	4529117	0.431
4000906	886779	0.431
1176463	4972844	0.431
1043210	3112415	0.36
1532950	3747010	0.644
2304613	863768	0.94
3908752	4186618	0.431
3513892	642705	0.953
1735824	2404277	0.36
2350445	4851841	0.719
3173579	3340206	0.431
374782	842303	0.84
116262	3452597	0.867
1165658	4684870	0.986
4268351	4884340	0.191
1247513	3027079	0.816
3348102	929751	0.996
2607334	3808556	0.778
1454619	1894256	0.861
4313210	4717503	0.28
2946713	3348102	0.798
436342	746078	0.28
10013539	899063	0.981
2618003	864205	0.28
2439084	4418912	0.28
1979966	3209348	0.431
1368998	3076419	0.431
1979811	260130	0.431
