icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
3143567	3696916	A1BG	1	ENSG00000121410
1591918	2243284	A1CF	29974	ENSG00000148584
16814786	3759536	A2M	2	ENSG00000175899
1869758	3513892	AAAS	8086	ENSG00000094914
32806880	2068280	AACS	65985	ENSG00000081760
2505454	4972844	AAGAB	79719	ENSG00000103591
14005395	52484640	AAK1	22848	ENSG00000115977
32587203	2068280	AAMDC	28971	ENSG00000087884
2158212	1378693	AAMP	14	ENSG00000127837
1237231	821803	AANAT	15	ENSG00000129673
3115522	4862491	AAR2	25980	ENSG00000131043
1683210	4732923	AARS	16	ENSG00000090861
3963426	2068280	AARS2	57505	ENSG00000124608
227980	5413309	AASDHPPT	60496	ENSG00000149313
4381627	1368998	AASS	10157	ENSG00000008311
5094480	4629164	AATF	26574	ENSG00000275700
5342196	4122724	AATK	9625	ENSG00000181409
2340220	2886402	ABAT	18	ENSG00000183044
1620853	3694658	ABCA1	19	ENSG00000165029
45827017	4948675	ABCA10	10349	ENSG00000154263
9768971	9768971	ABCA12	26154	ENSG00000144452
51135644	5011796	ABCA13	154664	ENSG00000179869
2855035	158852	ABCA2	20	ENSG00000107331
37083694	4616280	ABCA3	21	ENSG00000167972
2115550	2808310	ABCA4	24	ENSG00000198691
25874157	3171112	ABCA5	23461	ENSG00000154265
147448	5011796	ABCA6	23460	ENSG00000154262
5286382	2068280	ABCA7	10347	ENSG00000064687
5105204	4671530	ABCA9	10350	ENSG00000154258
2770423	1165658	ABCB1	5243	ENSG00000085563
39246565	941878	ABCB10	23456	ENSG00000135776
4490825	4913783	ABCB11	8647	ENSG00000276582
4012084	4913783	ABCB4	5244	ENSG00000005471
3564219	3564219	ABCB5	340273	ENSG00000004846
494545	2256074	ABCB6	10058	ENSG00000115657
3268181	2186087	ABCB7	22	ENSG00000131269
2868317	4925944	ABCB8	11194	ENSG00000197150
50069574	50069574	ABCB9	23457	ENSG00000150967
39228057	3076325	ABCC1	4363	ENSG00000278183
3062146	3062146	ABCC10	89845	ENSG00000124574
2332582	2332582	ABCC12	94160	ENSG00000140798
4558614	4616280	ABCC2	1244	ENSG00000023839
581658	4465042	ABCC3	8714	ENSG00000108846
3201249	4913783	ABCC4	10257	ENSG00000125257
2378332	3631239	ABCC5	10057	ENSG00000114770
11793916	5059508	ABCC6	368	ENSG00000091262
8972881	1483750	ABCC8	6833	ENSG00000006071
4676702	5232329	ABCC9	10060	ENSG00000069431
3410891	5056284	ABCD1	215	ENSG00000101986
3227360	5056284	ABCD2	225	ENSG00000173208
1130622	5056284	ABCD3	5825	ENSG00000117528
3384929	3786432	ABCD4	5826	ENSG00000119688
11750	3479715	ABCE1	6059	ENSG00000164163
1538681	5029749	ABCF1	23	ENSG00000232169
4178648	5045238	ABCF2	10061	ENSG00000033050
2853646	14005421	ABCF3	55324	ENSG00000161204
422310	422310	ABCG1	9619	ENSG00000160179
4767737	5364446	ABCG2	9429	ENSG00000118777
2275753	422310	ABCG4	64137	ENSG00000172350
3242301	4456845	ABCG5	64240	ENSG00000138075
5077055	5059508	ABCG8	64241	ENSG00000143921
2446552	3502869	ABHD10	55347	ENSG00000144827
4068758	2186087	ABHD11	83451	ENSG00000106077
46148137	46148137	ABHD12	26090	ENSG00000100997
2678406	635742	ABHD14A	25864	ENSG00000248487
2141733	2068280	ABHD14B	84836	ENSG00000114779
24456	4303212	ABHD16A	7920	ENSG00000206403
1815522	9644677	ABHD17A	81926	ENSG00000129968
3089851	2068280	ABHD17B	51104	ENSG00000107362
40544716	2068280	ABHD17C	58489	ENSG00000136379
2651821	2651821	ABHD2	11057	ENSG00000140526
3699109	2068280	ABHD3	171586	ENSG00000158201
31272270	3468957	ABHD4	63874	ENSG00000100439
4813017	4942423	ABHD5	51099	ENSG00000011198
22688055	5232295	ABHD6	57406	ENSG00000163686
3078390	4078346	ABI1	10006	ENSG00000136754
1380238	1449530	ABI2	10152	ENSG00000138443
