Cell_Identifier	Population	Cell_names	TrueLabel_CellLevel	Tissue_name	TrueLabel_TissuelLevel	Label
SRR1274192	Cell_2338_1	2338	1	DERMAL	1	2338
SRR1274194	Cell_2338_10	2338	1	DERMAL	1	2338
SRR1274196	Cell_2338_11	2338	1	DERMAL	1	2338
SRR1274198	Cell_2338_12	2338	1	DERMAL	1	2338
SRR1274200	Cell_2338_13	2338	1	DERMAL	1	2338
SRR1274202	Cell_2338_14	2338	1	DERMAL	1	2338
SRR1274204	Cell_2338_15	2338	1	DERMAL	1	2338
SRR1274206	Cell_2338_16	2338	1	DERMAL	1	2338
SRR1274208	Cell_2338_17	2338	1	DERMAL	1	2338
SRR1274210	Cell_2338_18	2338	1	DERMAL	1	2338
SRR1274212	Cell_2338_19	2338	1	DERMAL	1	2338
SRR1274214	Cell_2338_2	2338	1	DERMAL	1	2338
SRR1274216	Cell_2338_20	2338	1	DERMAL	1	2338
SRR1274218	Cell_2338_21	2338	1	DERMAL	1	2338
SRR1274220	Cell_2338_22	2338	1	DERMAL	1	2338
SRR1274222	Cell_2338_3	2338	1	DERMAL	1	2338
SRR1274224	Cell_2338_4	2338	1	DERMAL	1	2338
SRR1274226	Cell_2338_5	2338	1	DERMAL	1	2338
SRR1274228	Cell_2338_6	2338	1	DERMAL	1	2338
SRR1274230	Cell_2338_7	2338	1	DERMAL	1	2338
SRR1274232	Cell_2338_8	2338	1	DERMAL	1	2338
SRR1274234	Cell_2338_9	2338	1	DERMAL	1	2338
SRR1274236	Cell_2339_1	2339	2	BLOOD	2	2339
SRR1274238	Cell_2339_10	2339	2	BLOOD	2	2339
SRR1274240	Cell_2339_11	2339	2	BLOOD	2	2339
SRR1274242	Cell_2339_12	2339	2	BLOOD	2	2339
SRR1274244	Cell_2339_13	2339	2	BLOOD	2	2339
SRR1274246	Cell_2339_14	2339	2	BLOOD	2	2339
SRR1274248	Cell_2339_15	2339	2	BLOOD	2	2339
SRR1274250	Cell_2339_16	2339	2	BLOOD	2	2339
SRR1274252	Cell_2339_17	2339	2	BLOOD	2	2339
SRR1274254	Cell_2339_2	2339	2	BLOOD	2	2339
SRR1274256	Cell_2339_3	2339	2	BLOOD	2	2339
SRR1274258	Cell_2339_4	2339	2	BLOOD	2	2339
SRR1274260	Cell_2339_5	2339	2	BLOOD	2	2339
SRR1274262	Cell_2339_6	2339	2	BLOOD	2	2339
SRR1274264	Cell_2339_7	2339	2	BLOOD	2	2339
SRR1274266	Cell_2339_8	2339	2	BLOOD	2	2339
SRR1274268	Cell_2339_9	2339	2	BLOOD	2	2339
SRR1274270	Cell_BJ_1	BJ	3	DERMAL	1	BJ
SRR1274272	Cell_BJ_10	BJ	3	DERMAL	1	BJ
SRR1274274	Cell_BJ_11	BJ	3	DERMAL	1	BJ
SRR1274276	Cell_BJ_12	BJ	3	DERMAL	1	BJ
SRR1274278	Cell_BJ_13	BJ	3	DERMAL	1	BJ
SRR1274280	Cell_BJ_14	BJ	3	DERMAL	1	BJ
SRR1274282	Cell_BJ_15	BJ	3	DERMAL	1	BJ
SRR1274284	Cell_BJ_16	BJ	3	DERMAL	1	BJ
SRR1274286	Cell_BJ_17	BJ	3	DERMAL	1	BJ
SRR1274288	Cell_BJ_18	BJ	3	DERMAL	1	BJ
SRR1274290	Cell_BJ_19	BJ	3	DERMAL	1	BJ
SRR1274292	Cell_BJ_2	BJ	3	DERMAL	1	BJ
SRR1274294	Cell_BJ_20	BJ	3	DERMAL	1	BJ
SRR1274296	Cell_BJ_21	BJ	3	DERMAL	1	BJ
SRR1274298	Cell_BJ_22	BJ	3	DERMAL	1	BJ
SRR1274300	Cell_BJ_23	BJ	3	DERMAL	1	BJ
SRR1274302	Cell_BJ_24	BJ	3	DERMAL	1	BJ
SRR1274304	Cell_BJ_25	BJ	3	DERMAL	1	BJ
SRR1274306	Cell_BJ_26	BJ	3	DERMAL	1	BJ
SRR1274310	Cell_BJ_28	BJ	3	DERMAL	1	BJ
SRR1274312	Cell_BJ_29	BJ	3	DERMAL	1	BJ
SRR1274308	Cell_BJ_27	BJ	3	DERMAL	1	BJ
SRR1274314	Cell_BJ_3	BJ	3	DERMAL	1	BJ
SRR1274316	Cell_BJ_30	BJ	3	DERMAL	1	BJ
SRR1274320	Cell_BJ_32	BJ	3	DERMAL	1	BJ
SRR1274318	Cell_BJ_31	BJ	3	DERMAL	1	BJ
SRR1274322	Cell_BJ_33	BJ	3	DERMAL	1	BJ
SRR1274324	Cell_BJ_34	BJ	3	DERMAL	1	BJ
SRR1274326	Cell_BJ_35	BJ	3	DERMAL	1	BJ
SRR1274328	Cell_BJ_36	BJ	3	DERMAL	1	BJ
SRR1274330	Cell_BJ_37	BJ	3	DERMAL	1	BJ
SRR1274332	Cell_BJ_4	BJ	3	DERMAL	1	BJ
SRR1274334	Cell_BJ_5	BJ	3	DERMAL	1	BJ
SRR1274336	Cell_BJ_6	BJ	3	DERMAL	1	BJ
SRR1274338	Cell_BJ_7	BJ	3	DERMAL	1	BJ
SRR1274340	Cell_BJ_8	BJ	3	DERMAL	1	BJ
SRR1274342	Cell_BJ_9	BJ	3	DERMAL	1	BJ
SRR1275334	Cell_GW16_1	GW16	4	NEURAL	3	GW16
SRR1275336	Cell_GW16_10	GW16	4	NEURAL	3	GW16
SRR1275338	Cell_GW16_11	GW16	4	NEURAL	3	GW16
SRR1275340	Cell_GW16_12	GW16	4	NEURAL	3	GW16
SRR1275342	Cell_GW16_13	GW16	4	NEURAL	3	GW16
SRR1275344	Cell_GW16_14	GW16	4	NEURAL	3	GW16
SRR1275346	Cell_GW16_15	GW16	4	NEURAL	3	GW16
SRR1275348	Cell_GW16_16	GW16	4	NEURAL	3	GW16
SRR1275350	Cell_GW16_17	GW16	4	NEURAL	3	GW16
SRR1275352	Cell_GW16_18	GW16	4	NEURAL	3	GW16
SRR1275354	Cell_GW16_19	GW16	4	NEURAL	3	GW16
SRR1275356	Cell_GW16_2	GW16	4	NEURAL	3	GW16
SRR1275358	Cell_GW16_20	GW16	4	NEURAL	3	GW16
SRR1275360	Cell_GW16_21	GW16	4	NEURAL	3	GW16
SRR1275362	Cell_GW16_22	GW16	4	NEURAL	3	GW16
SRR1275364	Cell_GW16_23	GW16	4	NEURAL	3	GW16
SRR1275366	Cell_GW16_24	GW16	4	NEURAL	3	GW16
SRR1275370	Cell_GW16_26	GW16	4	NEURAL	3	GW16
SRR1275368	Cell_GW16_25	GW16	4	NEURAL	3	GW16
SRR1275241	Cell_GW16_3	GW16	4	NEURAL	3	GW16
SRR1275243	Cell_GW16_4	GW16	4	NEURAL	3	GW16
SRR1275245	Cell_GW16_5	GW16	4	NEURAL	3	GW16
SRR1275247	Cell_GW16_6	GW16	4	NEURAL	3	GW16
SRR1275249	Cell_GW16_7	GW16	4	NEURAL	3	GW16
SRR1275251	Cell_GW16_8	GW16	4	NEURAL	3	GW16
SRR1275253	Cell_GW16_9	GW16	4	NEURAL	3	GW16
SRR1275255	Cell_GW21_1	GW21	5	NEURAL	3	GW21
SRR1275257	Cell_GW21_2	GW21	5	NEURAL	3	GW21
SRR1275259	Cell_GW21_3	GW21	5	NEURAL	3	GW21
SRR1275261	Cell_GW21_4	GW21	5	NEURAL	3	GW21
SRR1275265	Cell_GW21_6	GW21	5	NEURAL	3	GW21
SRR1275263	Cell_GW21_5	GW21	5	NEURAL	3	GW21
SRR1275267	Cell_GW21_7	GW21	5	NEURAL	3	GW21
SRR1275269	Cell_GW21_8	GW21	5	NEURAL	3	GW21
SRR1275271	Cell_GW21+3_1	GW21+3	6	NEURAL	3	GW21+3
SRR1275273	Cell_GW21+3_10	GW21+3	6	NEURAL	3	GW21+3
SRR1275275	Cell_GW21+3_11	GW21+3	6	NEURAL	3	GW21+3
SRR1275277	Cell_GW21+3_12	GW21+3	6	NEURAL	3	GW21+3
SRR1275279	Cell_GW21+3_13	GW21+3	6	NEURAL	3	GW21+3
SRR1275281	Cell_GW21+3_14	GW21+3	6	NEURAL	3	GW21+3
SRR1275283	Cell_GW21+3_15	GW21+3	6	NEURAL	3	GW21+3
SRR1275285	Cell_GW21+3_16	GW21+3	6	NEURAL	3	GW21+3
